Address (Includes City),ZIP,Asking Price,Sale Price,Sale Date,Area (Sq Ft),Lot (Sq Ft),Beds,Baths,Year Built,Energy Features,Description,Classification,Solar Heating,Passive Solar,PV Power,Green Modified
706 Mill Creek Way Manteca," 95336-8332	","$348,017 ","$336,404 ", 03/31/10,2739,7351,4,3,2009," Photovoltaic Power, Tankless Wtr Heater, Window(s) Low ", Wow! Check out the Price vs Value! SOLAR Home providing up to 60% of your monthly energy needs PLUS approximately $6k Federal Tax Credit for solar. Beautiful 5 Br/3.5 Bath on a corner lot nicely appointed, Photovoltaic Power ,0,0,1,0
778 Mill Creek Way Manteca," 95336	","$421,840 ","$399,990 ", 08/17/10,3738,7574,5,4,2009," Photovoltaic Power, Tankless Wtr Heater, Window(s) Low "," Sizzling July Special: Purchase in JULY and close in 30 days to receive either: 4% Fixed Rate, 30 year conv or fha(must qualify) OR Full House Blinds, GE Energy Star Refrigerator and GE Washer & Dryer!! plus lots MORE: $11,100 in closing costs when using First Mortgage!! Solar Home with approx $6k Federal Tax Credit for Solar plus up to 60% monthly PG&E savings! Ask how to defer your electric bill for a full year!(Full Retail $436,652", Photovoltaic Power ,0,0,1,0
12340 Vineyard Hill Ct Elk Grove," 95624-9530	","$1,599,000 ","$1,050,000 ", 07/21/09,5698,21823,4,5,2008," Photovoltaic Power, Tankless Wtr Heater, Window(s) Dual Pane, Window(s) Low "," DRASTIC PRICE REDUCTION! -Motivated-Bring Offers today! 5 Acres, potential horse property. Views, Quality & Technology,Old World Style & Contemporary Design,Refined Living & Entertaining. Marble,Granite,Slate,Travertine. Custom Cabinets-Sculpted Corbels,Water Spigot over 6 Burner Gourmet Gas Stove,4 Ovens,2 Dishwashers,90+ Bottle Wine Ref. Unrivalled Master Suite w/fplc,74 jet tub & X-LG sep shower.Super ultimate walk-in closet w/washer+dryer,4+ Car Garage,2 AC units and 2 tankless water heater", Photovoltaic Power ,0,0,1,0
1442 Vasco St Manteca," 95337-8781	","$365,826 ","$350,000 ", 03/19/10,2701,9933,4,3,NA," Photovoltaic Power, Tankless Wtr Heater, Window(s) Dual Pane, Window(s) Low "," Just completed 1/8/2010. Brand new solar home!Over $50,000 in UPGRADES! Very popular single story Normandy plan. Wide open large 2701 sq.ft. floorplan great for entertaining. Huge 10,000 sq.ft. lot has no rear neighbor. Upgrades include granite counters in kitchen and 18x18 tile floors, double oven, upgraded beech mocha cabinets, two-tone paint, courtyard, tankless water heater, arches package, & much more!", Photovoltaic Power ,0,0,1,0
1458 Vasco St Manteca," 95337-8781	","$373,000 ","$369,051 ", 11/06/09,2701,12011,4,3,NA," Photovoltaic Power, Tankless Wtr Heater, Window(s) Dual Pane, Window(s) Low "," Fabulous Normandy Single Story on a 12,011 sq.ft.lot!! Room for two pools! Solar Home! Tankless water heater. Save $'s every month on PG&E! Loaded w/upgrades, Beech Mocha cabinets, granite counters, Stainless Steel GE Profile appliances w/Double oven, two-tone paint, 18x18 Tile throughout, 2,701 sq.f.t wide open floorplan great for entertaining. 4 bedroom PLUS a Den, and 2 1/2, Bath, and a Full 3 Car Tandem Garage. Beautiful stone on front exterior. Ready late october", Photovoltaic Power ,0,0,1,0
1463 Vasco St Manteca," 95337-8781	","$366,723 ","$349,393 ", 05/25/10,2701,7578,4,3,NA," Photovoltaic Power, Tankless Wtr Heater, Window(s) Dual Pane, Window(s) Low "," Very popular single story Normandy Plan has 4 Bedrooms + Den, 2 1/2 Baths, 3-Car Tandem Garage in a wide open 2,701 sq.ft. floorplan great for entertaining. Over $50,000 in upgrades! including- SOLAR, Tankless water heater, Granite kitchen counters with GE Profile stainless appliances w/Doulble Oven and Microwave,upgraded Beech Cayenne cabinets, Two-tone paint, 18x18 floor tile, alarm system, ++ More! Excellent location on quiet street & walk 100 feet to 11 acre park! Just completed. Must see", Photovoltaic Power ,0,0,1,0
1509 Vasco St Manteca," 95337-8782	","$347,863 ","$338,863 ", 11/23/09,2455,7894,5,3,NA," Photovoltaic Power, Tankless Wtr Heater, Window(s) Dual Pane, Window(s) Low "," Brand new single story! Maison Plan. Large 2,455 sq.ft. 5 bedroom, 3 Bath, 3 full car garage. Solar Home! w/Tankless water heater, solar roof tiles++++MORE! Save $'s every month. Upgraded 18 inch flor tiles throughout, granite Kitchen counters, GE Profile appliances w/double oven. Large 8,000 sq.ft.lot. Ready late October", Photovoltaic Power ,0,0,1,0
1521 Vasco St Manteca," 95337-8782	","$355,677 ","$356,406 ", 08/13/09,2701,10011,4,3,NA," Photovoltaic Power, Tankless Wtr Heater, Window(s) Dual Pane, Window(s) Low "," Hugely popular Normandy single story! Very open 2,701 sq.ft.4 BR+Den, 21/2 Bath, 3-car garage on 10,000 sq.ft.lot. Solar home! Too many energy upgrades to list like tankless water heater, solar roof tiles, Fed solar tax credit. Upgraded cabinets, two-tone paint, stainless appliances included. Granite kitchen counters, extensive upgraded 18x18 floor tile. Ready late July", Photovoltaic Power ,0,0,1,0
1773 Huerto Pl Manteca," 95337-8783	","$427,489 ","$389,000 ", 12/04/09,3524,7916,5,3,NA," Photovoltaic Power, Tankless Wtr Heater, Window(s) Dual Pane, Window(s) Low "," Awesome Provence Plan! 8,000sq.ft.lot in court! 5 bedroom plus bonus loft, 3 bath, 3-car garage. Granite kitchen counters, upgraded cabinets,tile floors, etc.. Solar home! Save 60% on gas/electric bill with solar roof tiles,tankless water heater,.92 AFUE heat!Plus Fed.solar tax credits!30k in upgrades. Ready now", Photovoltaic Power ,0,0,1,0
730 Mill Creek Way Manteca," 95336-8332	","$365,101 ","$345,642 ", 05/07/10,2910,7574,4,3,2009," Photovoltaic Power, Tankless Wtr Heater, Window(s) Dual Pane, Window(s) Low "," If you've been waiting for an excellent value, This is It! Solar Home providing up to 60% of energy needs and $6k federal solar tax credit. Located in beautiful Union Ranch East...come see", Photovoltaic Power ,0,0,1,0
9555 Harvest Gold Ct Sacramento," 95827-3274	","$221,900 ","$234,000 ", 10/15/09,1503,5881,3,2,2005," Photovoltaic Power, Tankless Wtr Heater		"," This is the one to bring your buyers home to, move in ready with lots of upgrades. This 3 bedroom and 2 bath home features over 1,500 square feet of interior living space with 2 car attached garage. The home features solar energy and a tankless water heater", Photovoltaic Power ,0,0,1,0
4072 Preserve Way #lot24 Rancho Cordova," 95742-7749	","$221,490 ","$263,055 ", 12/31/09,1713,4725,4,2,2009," Photovoltaic Power, Solar Plumbed, Window(s) Dual Pane, Window(s) Low "," NEW RELEASE! ALL PHOTOS ARE OF THE MODEL. Our most popular floorplan, the Sierra II- Single story has a spacious pantry, large kitchen island,Kitchen has Granite Countertops, cozy great room, and generous size secondary bedrooms. Includes higher efficient AC unit, radiant barrier, plus many more energy efficient upgrades.Buyer can choose interior finishes (cabinetry, carpet, tile) NO HOA! Est. move in Jan 201", Photovoltaic Power ,0,0,1,0
11237 Redhawk Ct Auburn," 95602	","$695,000 ","$678,000 ", 09/01/10,4100,43560,4,5,2000," Photovoltaic Power, Solar Heating, Solar Screens, Window(s) Dual Pane		"," Welcome. You have found the most unique property in Deer Ridge. This 4 bdrm, 4.5 bath hm inspires the feeling of living in your own retreat. Enjoy meals in the formal DR or on one of four stone patios outside. This secluded loc includes a Nat Design Pool & Spa, Built in BBQ, & Fountains in a 1 ac, beautifully lndscpd grdn setting. Prop also incl an Artist Studio, Wrkshp or poss sep lvg qtrs. Abundant strge, Cen Vac, Intercom, Sec System, Solar for Pool heating & PV Solar for energy. Come see", Passive Solar ,0,1,1,0
12376 Montauk Way ##49 Rancho Cordova," 95742	","$298,632 ","$269,000 ", 05/28/10,1961,6899,3,3,2010," Photovoltaic Power, Smart Vent, Window(s) Dual Pane, Window(s) Low "," SOLAR ELECTRIC-NEW HOME!!! Single Story. Our most popular model - jack&jill bathroom adjoining 2 bedrooms, lots of granite & tile upgrades, Stainless Steel ungraded kitchen appliances,covered patio off of master suite. Light, bright airy floorplan with a nice size backyard. NO HOA!! Ready to move into", Photovoltaic Power ,0,0,1,0
4200 Choteau Cir #lot74 Rancho Cordova," 95742-7749	","$260,756 ","$251,831 ", 10/02/09,1543,5775,3,2,2009," Photovoltaic Power, Smart Vent, Window(s) Dual Pane, Window(s) Low "," AUGUST MOVE IN!!! SOLAR ELECTRIC!! INTERIOR PHOTOS ARE OF THE MODEL. EXTERIOR PHOTOS ARE OF ACTUAL PROPERTY FOR SALE. Our most popular floorplan, the Sierra I- Single story has a spacious pantry, large kitchen island, cozy great room, and generous size secondary bedrooms. Sliding glass door in the Master Suite. Includes higher efficient AC unit, radiant barrier,Smart Vent, plus many more energy efficient upgrades. NO HOA", Photovoltaic Power ,0,0,1,0
10553 Arianne Dr Stockton," 95209	","$349,000 ","$349,000 ", 09/02/10,3039,6271,4,4,2010," Photovoltaic Power		"," Large home on a large lot. From the huge loft/gaming room to the downstairs guest suite this home is move in ready with the window coverings, sidexside refrigerator and frontload washer and dryer included. Home includes Solar and you will receive a Federal Solar tax rebate", Photovoltaic Power ,0,0,1,0
10390 Sierra Hills Ln Auburn," 95602-9402	","$1,950,000 ","$1,335,000 ", 05/24/10,7135,87120,4,7,2001, Photovoltaic Power, Elegant and luxurious Tuscan style home with generously sized bedrooms on 20 lush acres in a prestigious neighborhood. The stunning floor plan is flooded with natural light and takes advantage of incredible views of the Buttes and Valley. The gourmet kitchen and dining area make entertaining a delight. Brand new state of the art solar system that eliminates PG&E bills, Photovoltaic Power ,0,0,1,0
805 Montrose Ct Santa Rosa," 95409	","$388,800 ","$364,000 ", 08/26/10,1558,7841,3,2,1979," Passive Solar, Window(s) Dual Pane		"," Upscale Piedmont Heights cul-de-sac location,hilltop views.Remodeled with new paint,floorcoverings,granite kitchen/bathroom counters,stainless appliances,window coverings.Spacious sunroom great for entertaining,family room,many uses.Third car(tandem)garage space equipped as workshop has room for jetski,motorcycles,pool table,tons of storage.A multitude of possibilities to enjoy.Bike or walk to Sequoia Elementary,RVMS,MCHS", Passive Solar ,0,1,0,0
97 Stone Crop Reach The Sea Ranch," 95497	","$3,750,000 ","$3,500,000 ", 08/05/09,4650,40990,5,3,1972," Passive Solar, Window(s) Dual Pane"," Spectacular Ocean Front Home with incredible views everywhere, located in one of the most coveted and private areas of The Sea Ranch.Built by Carson Bowler in 1972 and remodeled by Obie Bowman in 1997.A true masterpiece. Mystical portal to capture the crashing waves. Chefs Kitchen with granite.Elevated dining room with fireplace.Spacious great room with fireplace. A game room,sauna, wine cellar, private lounge,sport room,office,decks, hot tub", Passive Solar ,0,1,0,0
75 Sea Pine Reach The Sea Ranch," 95497	","$599,000 ","$575,000 ", 07/31/09,1031,13591,2,1,1986," Passive Solar, Whole House Fan"," Truly a jewel in the meadow and the pick of the litter on the market. Steps from beaches, trails and walking distance to Del Mar Center. Owners have taken care of home and it shows so well, you won't believe it was built in 1986", Passive Solar ,0,1,0,0
38914 Cypress Way Gualala," 95445	","$519,000 ","$329,025 ", 06/16/10,1494,1394,2,3,2003," Passive Solar, Wall Insulation, Window(s) Dual Pane"," Panoramic ocean views from this highly desirable upgraded interior town home located in Gualala. 2 bedrooms, 2 1/2 baths, 1 car garage. Close to gym, services, restaurants. No need for a car! $248 monthly Association dues pay homeowners policy, siding, roof, exterior paint, landscape", Passive Solar ,0,1,0,0
1021 W Perkins St Ukiah," 95482	","$325,000 ","$310,000 ", 05/21/10,1200,7345,2,1,1925," Passive Solar, Solar Domestic Water		"," Vintage 2 bedroom one bath home in the heart of the Westside. Great floor plan with spacious living room, cozy dining room, period kitchen and bright sun room. Many Architectural details including- hardwood flooring, ornate fireplace, French doors, coved ceilings and paneled walls. Updated windows and solar electric. Large backyard with oversized garage, walking to City Park and downtown. P & F clearance, potential for in-law unit", Passive Solar ,0,1,0,0
1501 Felta Rd Healdsburg," 95448	","$1,950,000 ","$1,950,000 ", 01/12/10,2058,10044,3,1,1974," Passive Solar, Solar Domestic Water		"," Tranquil and secluded 23+/- acre homestead a short 5 minutes from downtown Healdsburg. 2,060 sq ft passive solar designed residence w/soaring vaulted ceilings and clerestory windows, custom constructed 35 years ago of cedar and spruce. Outbuildings include: architecturally similar studio building w/bath & loft, a 936 sq ft barn/workshop, and a storage building. Park-like retreat among the hills and woodlands w/1,800 ft of Mill Creek frontage", Passive Solar ,0,1,0,0
42070 Rock Cod The Sea Ranch," 95497	","$598,000 ","$578,000 ", 05/18/09,1268,9365,2,2,1990," Passive Solar, Skylight(s), Window(s) Dual Pane		"," A Nautical Gem! You can see forever with fabulous white and blue water views. Well designed reverse-floor plan with spacious living, dining and kitchen on the upper level + deck! Private, large master and guest room below. Enjoy dramatic sunsets while being close to golf course, town, and bluff trails. Located on a quiet cul-de-sac with sewer access, new interior paint, power washing and roof. Priced to sell and ready for you to move in", Passive Solar ,0,1,0,0
3255 Redwood Rd Napa," 94558	","$3,850,000 ","$2,775,000 ", 03/27/09,4800,17424,4,4,1979," Passive Solar, Skylight(s)"," Panoramic Views Abound from this Contemporary Style Custom Home Located on a Pristine Knoll-Top Setting. Floor-to-Ceiling Windows Showcase the Views from Almost Every Room in this Spectacular Home. Glass Doors Open to a Large Outdoor Entertaining Area with Vineyard, Mountain, & Valley Views. Enjoy the Gourmet Kitchen with Commercial Appliances, The Master Suite on the Main Level, Infinity Edge Pool, Wine Cellar, Sauna, Plantable Acreage & More", Passive Solar ,1,1,0,0
724 Revel Rd Healdsburg," 95448	","$945,000 ","$820,000 ", 05/14/09,2830,13896,4,3,2007," Passive Solar, Skylight(s)"," Views, trees & privacy, brand new custom home, elegant finishes, exquisite lighting, spacious kitchen, stainless app, upgraded cabinetry, solid granite in kitchen & baths, beautiful wood & tile floors, 3 skylights, 2 fireplaces, jetted tubs, lg bdrm & full ba on main level w/ outside entrance, amazing views from master suite & front balcony, 3 car gar, RV pkg, level yd area, lg bk patio, A/C, dual zone, solar collector system, city services", Passive Solar ,0,1,0,0
