id,description
25," Just the perfect home that is waiting for you! Remodeled kitchen with maple cabinets, granite counters, stainless steel sink & new applicance! Solar panels that reduce PG&E bills significantly! New wall air conditioner and much, much more! Please see attachment for a list of all the amenities this home has. Move in condition! Close to shopping and freeway access. Don't miss this one"
26," Nice, large ranch-style home. Current home care facility. $35K in upgrades! 7 bedrooms, 3 baths, new roof, new stucco, new windows, new flooring, new kitchen cabinets, granite counter & more. Nice front patio, beautiful front yard landscaping, circular driveway & RV access. Easy freeway access & Folsom Lake"
27," 72 HOUR/PLEASE SHOW! 5.33 Acre estate w/many horse amenities surrounded by native oaks, towering pines and rolling hills. Custom built contemporary home designed with passive solar heating and cooling. Best value in Granite Bay. Your new lifestyle is waiting for you"
28," A big home in a cul de sac location, Master suite could be converted to 5th bedroom. 2 remote bedrooms off familyroom. House is over 1,900 sqft. Cozy conversation area with fireplace in living room. Make your offer now!!"
29," NEW construction in Orangevale is the one you've been looking for. The kitchen you've always dreamed of entertaining in. French Doors at Nook open to private courtyard, rear French Doors lead to covered Veranda w/fireplace. Includes SOLAR & Ca Green builder features that save our resources plus YOU MONEY"
30," Lots of light, vaulted ceilings, upgraded kitchen with gas stove and granite tile counters, HUGE master bedroom walk-in closet, one bedroom and full bath downstairs and more! Solar electric system.Average yearly bill $200! PRICED TO SELL BELOW MARKET VALUE"
31," Think Green. Located in prestigious Folsom Lake Estates, this gorgeous remodeled, energy efficient home is powered by SOLAR system (electric bills are $8/mo). The interior boasts updated baths, a remodeled kitchen with granite counter tops and stainless steel appliances, hardwood flrs, upgraded carpet and newer windows & doors. The home is situated on 1.2 usable acres w/a built-in pool & BBQ, raised garden boxes, expansive covered patio, brick firepit, a beautiful park like setting and tool she"
32," Highly desirable Powell #7 flrpln. Remodeled throughout: bamboo & slate flrs- granite slab counters- master suite that boats lg spa like bath,fireplace,& sitting area-stainless steel appliances and fixtures-& designer paint.Gorgeous pool & spa w/waterfall. Backs to American River PKWY.$25,000 credit for roo"
33," Views of the Sierra's and the pastoral Gold Hill area and more! 3 bd., 3 bath updated home on 1.7 View acres. Pool and family room for family fun and entertaining. Truly one of a kind view property located in the desirable and scenic Gold Hill area. SOLAR heating system for super energy savings"
34," GREAT NEIGHBORHOOD IN THE HEART OF FOLSOM. BEAUTIFUL AND PRISTINE 1-STORY CUSTOM BUILT HOME HAS BUILT-IN POOL/SPA, REMODELED KITCHEN, NEW HICKORY FLOORS AND CUSTOM PAINT. WAINSCOATING IN MASTER BD. RV/TOY ACCESS. HOME IS IDEAL FOR ENTERTAINING"
35," Fabulous two story with up-grades galore! Granite slabs on kitchen island, kitchen counters and on outdoor built-in-BBQ. Elegant natural and ceramic floors in all bathrooms, kitchn, family room and entry way. Big game room. Beautifully landscaped backyard w/pool and patio"
36," ** SOLAR SMART HOME for TODAY'S SMART BUYERS** SEE SUMMER PG&E $27-$36 ....APPRX $80,000 IN UPGRADES..REAR LANDSCAPING WITH PATIO..3 INCH SHUTTERS FOR PRIVACY AND ELEGANCE. GRANITE KITCHEN COUNTERTOPS.. G.E. PROFILE STAINLESS OVEN, MICROWAVE AND COOKTOP..PLENTY OF CHERRY CABINETS AND PANTRY SPACE..DOWNSTAIRS BEDROOM & BATH FOR GUESTS. PLUS.DEN/OFFICE..ASSN INCLUDES POOL AND CLUB HOUSE!..FLEXIBLE SELLER BOUGHT NEW MAY '08..NO LENDER ISSUES AND CAN CLOSE QUICKLY. NOTE: 3 CAR TANDEM GARAGE"
37," This gorgeous home includes dramatic ten foot ceilings, downstairs masters bedroom, granite countertops, classic birch cabinets in a gourmet kitchen, wrapped in a home both energy efficient and environmentally friendly. Solar Homes provide clean, renewable electric power without any fuel or emissions"
38," This beautiful home include such highlights as dramatic ten foot ceilings, granite countertops, classic birch cabinets in a gourmet kitchen, wrapped in a home both energy efficient and environmentally friendly. Solar Homes provide clean, renewable electric power without any fuel or emissions"
39," Cool layout - Great Room Concept with vaulted ceilings. 2br/2ba 1/2 plex on extra large lot. Huge patio has reinforced area for future spa. Plenty of room for RV/boat. Spacious dining room area, bright kitchen area with newer appliances. Large master w/private patio area"
40," Fabulous SMUD Solar Smart home with, open kitchen/family combo with granite slab counter tops, Cherry Recessed cabinets, built in 5 burner cooktop and built in oven, SS appliances, SS sink. Built by California Certified Green Builder Absolutely Gorgeous"
41," AMBERLEIGH AT MADIERA - Fabulous SMUD Solar Smart home with, open kitchen/family combo with granite slab counter tops, Cherry Recessed cabinets, built in 5 burner cooktop and built in oven, SS appliances, SS sink. Built by California Certified Green Builder Absolutely Gorgeous"
42," Stunning country property with over 6 rolling acres which can be used for horses, vineyards... Large home with 4 bedrooms, living room, family room, formal dining, den and has panoramic views out almost any window. Very quiet, private with barn for multiple uses. Includes swimming pool, solar heating (energy efficient home), hot tub, potting shed and much more. Priced substancially less than last year. Country living at its best"
43, Horse lovers dream!! RIDE OUT YOUR BACK GATE!This lovely home has DEEDED access to miles of hiking/ riding trails. Property is at the end of private lane. Very secluded & private yet only minutes to town
44," Large loft could easily serve as a 3rd bedroom. First time on the market, this custom built beach and ocean view Bodega Harbour home is being offered for sale by the original owners and full time residents. Designed by Architects Bowler & Cook, the two-story design features an open floor plan with all main rooms on the entry level and all focused on the excellent views"
45," Wonderful home is private subdivision. Private lot w/new drainage system, walk to river, lovely landscaping. Bonus room over garage can be used as 4th BdRm, office, game rm, etc. Sq ft includes bonus room"
46," HUGE PRICE REDUCTION. GREAT PIECE OF AUBURN PROPERTY W/LARGE BAR, 2100+ SQ FOOT SINGLE STORY HOME W/22 FULLY IRRIGATED ACRES W/PRIVACY & GENTLE ROLLING OPPORTUNITIES FOR FUTURE SPLITS. DETACHED GARAGE, SHOP AREA & TACK ROOMS. TAKE A NEW LOOK AT PRICE, OWNER VERY MOTIVATED"
47," Fabulous Tim Lewis home with stunning arch ways & art niches. Huge Kitchen with granite slab counter tops, Raised panel maple cabinets, built in 5 burner cooktop and built in oven. SMUD Solar Smart Home. Courtyard with iron gate. SmartVent. Absolutely Gorgeous! Call for details"
48," Exquisite home on a large lot in the Premier gated community of Lakeside! BREATHTAKING park like backyard w/koi pond, waterfall & abundant fruit trees! 5bd/3ba + game room. Over $100,000 in UPGRADES! The GOURMET oversized kitchen includes granite slab, maple cabinets, stainless steel appliances, lg island, tile floors & walk-in pantry! RELAXING elegant master suite. Large game room w/home theater system. This is a Zero Energy House. You will love your SMUD bills-less then $100 a month! WOW"
49," Quiet hilltop retreat! Gorgeous sunsets and city lights at your feet. Solar hot water, spa on deck outside the master suite, and very open floorplan. Not an REO or Short Sale. Won't last at this price"
50," Organic gardening next to Arden. 1.17acres RD2 possible split w/original Carmichael Colony frmhse.Lrg rms w/new crpt&paint,cntry ktchn w/Wolf stove,root cellar & pool.Lrg mature trees inc oaks & 7 kinds of fruit.Grdn w/raised beds & compost pile+chicken coop.Enjoy a quiet sanctuary in the middle of the cit"
51," A precious chance to own a great vintage home on one of downtown's most loved avenues! Updated with solar power, radiant heat, on demand water heater and dual pane windows, this 4 bdrm 2 bath home is charming and spacious at nearly 2800 SF. Beautiful master suite has deep soaking tub, walk-in shower, glass block architecture, skylights and an adjacent sitting area. Newly installed carpet and freshly updated paint. Large lot"
52," Full time or second home it will work beautifully either way.Great location! This 10 year old home with 2 bedrooms,two baths, fireplace,slate tile floors, dining area,laundry room,architecturally interesting,open beamed vaulted ceilings,hot tub and private deck, secret garden,large deck with blue water views, garage.Close to Walk on beach,Shell beach,Del Mar Pool, and fabulous trails.Skylights, double paned windows passive solar & power generato"
53," Mill Valley opportunity! Light, views of Mt. Tam/hills & privacy! 3BR/3BA home, extensively remodeled, w/Andersen windows, finest finishes, hardwood, built-in sound, skylights,lighting & crown molding. Energy saving/green features. Open floor plan: sophisticated LR w/fireplace, Dining Rm & gourmet kitchen. Each BR has adjoining bath. Workshop & large storage area. Two gardens, fenced yard. New roof, updated systems. Minutes to SF, MV and hiking"
54," Custom solar home on 90, private, south facing rural acres. 2300 sq. ft. of versatile living space, large great room w/ deluxe kitchen, fireplace, cathedral ceilings, views of oaks,meadows,mountains & canyons. Spacious bedroom, oversized bathroom, home office & pantry. Approx. 5 fenced acres, raised planting beds, guest cottage, wood fired hot tub and two springs. Owner-builder designed and built this residence"
55," Fabulous estate property with views to San Francisco bay skyline & bridges. 110 acres of gentle useable land. Meadows creeks pond. Ancient oaks. Views in every direction. End of lane privacy. Grand Estate home & equestrian facility. Guest house, caretaker's mobile, fruit orchard, fenced and cross fence, currently used as a cattle ranch"
56," Enchanted retreat, French country home on magical gently sloping 7.95 acres, panoramic views! Great open floor plan, gourmet kitchen, hickory floors, master suite main level. Artist studio over 2 car garage!! Guest house + workshop + 2 stall barn. $10K credit for carpet or replacment.Don't miss the virtual tour"
57," Sensational, Custom-Designed home with a combination of open, very spacious living areas- and cozy, private sleeping areas. Nestled atop a knoll, on nearly 16.5 acres of prime West Marin property,each room has expansive and private views.Approx 4200 sq ft, 5 bedrooms,4 baths, open-beam ceilings,3 fireplaces,2 ponds, pool with custom fountain, 3 car garage, gated property, central heat with opt solar power, basketball hoop and mini-baseball field"
58, ~~Bank Owned~~ Wonderful single story in a new community. Walk to The Galleria and the Fountains. Over 1900 sq ft with 4 br and 2 baths. Great room concept. A must see. Will go fast priced to sell
59," Beautiful new Lennar SolarPlus home in popular Westpark in Roseville. Spacious 5 Bedroom, 3 Baths plus powder room, Bonus room, granite slab countertops in kitchen and baths, GE Profile stainless steel appliances, cocoa stained beech cabinets, and upgraded flooring throughout"
60," Incredible home in popular Westpark in Roseville. Spacious 5 Bedroom, 4 Baths plus powder room, 4 car double tandem garage. This home has it all ~ SolarPlus, granite slab countertops in kitchen and baths, GE Profile stainless steel appliances, cocoa stained beech cabinets, and upgraded flooring. Located on a large cul-de-sac homesite"
61," Lennar SolarPlus energy efficient home in popular Westpark in Roseville. Fabulous home offering granite slab countertops, GE Profile stainless steel appliances, cocoa stained beechwood raised panel cabinets, 18 x 18 tile flooring and upgraded carpet throughout. Large downstairs 5th bedroom with private bath"
62," Single story Lennar SolarPlus energy efficient home in popular Westpark in Roseville. Ready to move in July. Spanish style home offering huge kitchen with granite slab countertops, GE Profile stainless steel appliances, beechwood raised panel cabinets, nook and pantry closet. Upgraded carpet and 18 x 18 tile flooring"
63," Beautiful Solar Plus Home in the Fiddyment Farms Master Planned community. Kitchen has raised panel beechwood cabinets in a cocoa stain, GE stainless steel appliance with granite countertop. This home features a downstairs master bedroom with 3 oversized bedrooms upstairs. Large backyard - approximately 39 feet from rear of house. Ready for October move-in"
64," Fabulous home in popular Westpark in Roseville. Spacious 5 Bedroom, 4 Baths plus powder room, Bonus room, SolarPlus, granite slab countertops in kitchen and baths, GE Profile stainless steel appliances, cocoa stained beech cabinets, and upgraded flooring throughout. Four bay double tandem garage"
65," Fabulous 2 story Lennar SolarPlus home with open floor plan great for entertaining. The kitchen features granite countertops, beechwood raised panel cabinets, GE stainless steel appliances, including double oven & 5 burner gas cooktop. Upgraded flooring throughout. Large backyard"
66," Quick close on new solar home in the Blackstone Master Planned Community. Beautiful home featuring upgrades throughout including granite countertops in kitchen and baths, cocoa stained beechwood cabinetry, stainless steel appliances, hardwood flooring and backyard landscaping"
67," Beautiful Zinfandel plan on corner homesite with rear yard landscaping. Features hardwood flooring, Berber carpet, 18 x 18 tile, GE Profile stainless steel appliances, slab granite counters, SolarPlus and much more"
68," Quick close on new solar home in the Blackstone Master Planned Community. Beautiful home featuring upgrades throughout including granite countertops in kitchen and baths, beechwood cabinetry, stainless steel appliances, hardwood flooring and backyard landscaping"
69," Openess and spaciousness is offered in this fabulous 5 bedroom, 3 full bath home. Double ovens, granite countertops and a double sided fireplace makes this solar energy efficient home a must see"
70," WOW! 2,172 square feet in West Roseville under $325,000. New Lennar SolarPlus home with granite slab countertops, GE Profile stainless steel appliances, beechwood cabinets, and upgraded carpet"
71," Beautiful two story Lennar SolarPlus home. Open floor plan great for entertaining. Very large rear yard for possible pool. The kitchen features granite countertops and GE stainless steel appliances, upgraded flooring throughout. Nicely appointed family home"
72," Beautiful 2 story solar home with landscaped front and backyard. The kitchen features granite countertops and stainless steel appliances and 18 x 18 tile and upgraded carpet. Great floor plan with larger master suite, laundry upstairs and spacious loft. Large backyard and lots of spacing between the homes"
73," Spectacular two story Lennar SolarPlus home with side covered courtyard and 20' side yard. This open floor plan features kitchen granite countertops and GE stainless steel appliances, and beechwood raised cabinets. Upgraded flooring throughout. Finished garage and front & rear yard landscaping. Ready to move in"
74," Spectacular two story Lennar SolarPlus home with side covered courtyard and 20' side yard. This open floor plan features kitchen granite countertops, GE stainless steel appliances, and dark stained beechwood raised cabinets. Upgraded flooring throughout. Ready to move in"
75," Located in the prestigious Twin Hills area of Sebastopol, this gated Estate offers 2+ acres of landscaped privacy with incredible panoramic views. Other features include 4 large bedrooms, 4.5 baths, 2 full kitchens, large indoor pool, game room, gym room, wine cellar, darkroom, office, three 2-car garages/workshops, greenhouse and more. Solar system sells energy to PG&E and keeps monthly electricity bill low"
76," So Cap Lofts is downtown's latest urban loft community located minutes from shopping, restaurants, the state capitol and Crocker Art Museum. So Cap Lofts offers easy access to work and play. Each 3 story loft includes solar panels, 2 car garages, iron railing, exposed ducting, granite counters, stainless steel appliances, private decks and more"
77," So Cap Lofts is downtown's latest urban loft community located minutes from shopping, restaurants, the state capitol & Crocker Art Museum. So Cap Lofts offers easy access to work & play. Each 3 story loft includes solar panels, 2 car garages, iron railing, exposed ducting, granite counters, stainless appliances, private decks and more. Roof is membrane. Pictures are of model"
78," Beautiful Mountain Views from this hillside custom home in the heart of Oakmont. This 3bd/3ba home features den,office,large living/dining room with vaulted ceilings. Custom kitchen with granite opening to family room on single level and large bonus room with full bath below that opens out to inground pool and lovely landscaped yard with waterfalls. New paint inside and out. New carpets. New tankless hot water heater. Incredible Value!!"
79," So Cap Lofts is downtown's latest urban loft community. Located minutes from shopping, restaurants, the state capitol and Crocker Art Museum. So Cap Lofts offers easy access to work and play. Each 3 story loft includes solar panels, 2 car garages, iron railing, exposed ducting, granite counters, stainless appliances, private decks and more"
80," It's time for a pool party!This 'picture perfect' 4BD/2BA home is perfect for indoor/outdoor entertaining!Wonderful open floorplan -Many upgrades include roof,pool, kitchen,paint,double paned windows. Large din.rm!Beautifully remodeled guest bath-Master bdrm opens to the outdoors-Low maint.yard with ample area for entertaining or play=hot tub included!Beautiful rose gardens! Desirable location on a quiet street!Note: Handicap accessible"
81," Stroll to happenin' downtown Novato from this almost-new, stylish home that's certified GREEN! 40-yr roof, 50-yr siding, tankless water heater, passive solar heating...it's cutting edge. Master suite on main floor w/full bath, attractive up-down window coverings, laminate floors, stainless appliances, recessed lighting and attached garage. It's charming. Below-market-rate restrictions apply"
82," 25 acres with wonderful views and peaceful settings! Newer manufactured home on foundation, large deck for entertaining, detached shop/garage, large garden area"
83," Embrace your inner Artist! This Bernal Hgts Retreat is both amazing & eclectic! Detached (currently), natural light, a great room that opens onto a grand lanscaped garden w/ mature trees & flowering plants. And green, green! Solar panels that make PGE bills almost insignificant,on demand water heater, ceramic tile wall heaters. 2 yr old roof updtd systems, mostly new windows, 2 bdrms + loft in the pitch! (Rooms down may be unwarranted)Kitchen w/Carerra marble & stainless! Walk to Cortland St"
84," Brown & Co. and Lorax Development present the Greenest Home in San Francisco. Brand new Solar powered 4BR/4BA view home near 24th St. shops. Gourmet kitchen opens to living room w/massive view from huge patio. Light filled upper level has Master suite w/pano views + 2 more Bdrms w/shared bath. Hdwd, slate & limestone slab throughout. Family Room on lower level has 14' ceilings, walk out to landscaped yard w/large Trex deck. Wine cellar. 2+ car garage. Cat5 wiring & radiant floor heating"
85," Extraordinary, three-level Spanish Colonial Revival, on Alamo Square. Great layout, gorgeous views, and grand scale! Well maintained and tastefully updated. Large rooms with exquisite floors, period lighting, dramatic arched windows, mahogany trim and vaulted ceilings. Remodeled eat-in kitchen open to family room. 3 bedrooms, 2 baths up. Large office, 4th bedroom, and more down. Private, off-street parking, central location, peaceful garden and deck, and eco-friendly touches. www.1125Hayes.co"
86," This home has so many desirable features! Mediterranean style home, built with loving care. Inground pool, tiled veranda, wine cellar, gentleman's vineyard, lighted tennis court, hot tub with pergola. Fully fenced and nicely landscaped with olive and redwood trees, palms. 3 bedrooms, office (or 4th bd), 3 full baths, 3 fireplaces, formal dining. Mexican paver and hardwood flooring, kitchen with tiled counters and island. Stunning water views"
87," Clarum built-Enviro home- Many additional upgrades, beautiful landscaped yard, solar powered, endless hot water system & beech hardwood floors. Walk/bike trails at end of cul-de-sac-- Baylands open space. Open Sun 1:30-4:3"
88," Home with style & a bit of everything special. Fabulous views, pool & patio area, courtyard & privacy. Very light & bright w/ many upgrades. Open floor plan w/kitchen fam room combo, huge LR all w/ hillside views. Formal DR looking at pool.2 BR incl master suite on main level & 2 addt'l BR w/ bath on lower level.Each BR on lower accesses a separate yard w/lawn area. Ample storage, 2 car garage, dog run, fenced lot w/auto sprinklers.Veg garden"
89," This impressive 3 BD, 2 BA Victorian Era Central Sunset home is close to shop, trans, and GG Park. This gem has been well cared for and recently updated. The gorgeous, rmdld Kit opens to the FDR w/capped FP + unique beveled glass built ins and a spacious LR w/ beautiful FP. Up, you find 3 generously sized BD's, with ample closet space + bonus sun rm with loft, an elegantly rmdld BA w/ marble counter + a lrge jacuzzi. Solar w/ an additional wtr tank, Hrdwd flrs, natural light, and attic storage"
90," Bright & spacious ranch style corner home in nice quiet area,built in 1984, 3BR/2BA, 1742 Apx sqft, lot size 7665sqft.,2 cars S/S garage W/new door & auto opener, new floor throughout, fresh paint interior, huge back yard & front lawn, Excellent location, near school shopping park and easy access to Hwy 80, 580 & 4. Movein condition"
91, This is a beautiful starter house in a quite neighborhood. Everything you could want. Updated bathrooms - Newer Kitchen appliances - Landscaped Front & Backyard - New Dual-Pane Windows - Newer 50 Gal Water Heater with Solar Assist - New Storage Room in the backyard. This will go VERY fast
92," Beautifully done three bedroom two bath single story home. Kitchen is the highlight with DeWills cabinets, granite counter tops and upgraded stainless steel appliances. Custom window coverings, newer paint, air conditioning. and wonderful floor plan add to the appeal. The large lot has a brick patio and a lovely lawn. Cul-de-sac location near Henderson school. Also has a solar system for savings on PG&E"
93,  
94," Spectacular 280 degree view home on 1.08 acre. 4bd, 3ba, formal DR, FR, kitchen etc, all on main level. Granny au-pair suite a few steps down. 2nd family room/game room on lower level, day light entry. Horse ok, barn has water/electricity. Check prices and other homes this size, great value"
95," Behind the Shingled Craftsman Facade is an unbelievable contemporary residence completely updated for todays discerning buyer.Great attention has been given to every detail of this fine home.An elevator services all 4 floors. Upper floors has 3 bed/2 baths ,one a master spa bath. Another level has bedroom and full bath for guests/live-ins, and garden level is a great room with wet bar and full bath. 4 South facing decks, with views of the Bay from master suite and family room. New Listing"
96," The cheapest 3/2 in all of 95831, Greenhaven, Pocket Area! Dual window panes throughout. Mostly original and kept in good condition. Clear Pest Report. One block from Reichmuth Park. Refrigerator, washer, dryer, microwave included"
97," Your own haven nestled amidst 1 acre of trees,flowers&shrubs.50 ft free form Solar Heated Geremiah Pool and Spa,Gorgeous Custom Gazebo/sun room,outdoor grill,fresh garden&BBQ,Large RV drive&access.Open Kitchen w/ Natural gas Lynx grill,double ovens, microwave,island with sink,work station,lrg pantry,all cabinets w/ Bull Bearing slide outs,breakfast nook&dining bar open up to large family room.Frmal Dining Room,Formal Living Room,Office,Master Bedroom Suite w/ sitting area and Large Bedrooms"
98," Lovely large corner property. Home architected to take advantage of all the best of El Granada - South facing sun exposure, lots of windows from which to enjoy fabulous harbor/ocean views, ag-use acreage across street. 3 bed/3 bath- most living areas at street level (1 bed/bath upstairs). 2 separate garages. Efficient use of sun/solarium keeps home warm and utility costs low. To be sold AS-IS"
99," Quiet ideal Cul-De-Sac location. Almost New Enviro/Solar Powered w/Low utility cost. Expensive Bldr upgrades & more by owner, High ceilings, Gourmet kitchen, granite counters, Cherry hrdwd floors, newer appliances, Close to Stanfor"
100," Classic prime West Portal two story, detached Edwardian, located on one of the best blocks of West Portal close to Village shops, restaur-ants,post office,library,public transportation access to every part of the City. This 5 bedroom,2.5 bath Ferdinand Nelson built tradi-tional home,includes large fam. room off kit. with second fireplace and deck/garden.Open Tues.10/25 1-2:30- Spec.Show.Wed.10/26,5:30-6:30-Sun.10/30,1:30-4:30 Sellers reserve right to accept,reject,counter any offer.Offer(s10/31"
101," Co-listed with Sherry Bucolo 650.207.9909. Situated in a private cul-de-sac, this 3 yr. new home is equisite with high end finishes. The home has 4 bdrm, 2 1/2 baths, Liv Rm/Din Rm combo, family rm, and a gourmet kitchen"
102," *Gorgeous Aptos Foothills*11+ Acres Of Great Land*Two 3,000 SF Metal Barns- One Complete With Horse Stalls and Tack Room, One Empty*Views Of Beautiful Valley*Very Close To Aptos Village*Very Nice Setting"
103," A wonderful family home & great neighborhood! Enjoy this spacious 2 story home located in desirable Mt. Carmel- Built w/charm & expanded w/quality- Large LR/weat-in area- Sep dining RM- HDWD Flrs in many rooms- 2 car garage- Spacious backyd w/lawn covered patio landscaping, mature trees- Huge MBR suite w/balcony- Nearby beautiful Stafford Park"
104," ELEGANT CHARMING RETREAT IN WHITE OAKS W/PRIVACY IN PARK-LIKE STNG.2100 +/- SF HM ON FENCED 9000 +/- SF TRANQUIL LOT.OAK FLRS,DOUBLE DUTCH DRS,E/I KIT,AMPLE STORAGE, 3RD BDRM IDEAL FOR AUPAIR/TEEN.CALL L/A's FOR APPT/OFFERS & EXCL"
